id,name,category,section,price,description,talle,medidas,estado,img,img2,sizes,is_new,is_sold,created_at,images,categories,sort_order
082959e1-c731-4681-942d-11d3dd17ddc0,Camisa Legacy Y2K – Hombre,camisas,arriba,35000,Detalle: Leves manchas de estar guardada,L,Ancho 51cm | Largo 72cm,9/10,https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783203463685-72vbtp/1783203636198-bvcgb4.webp,https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783203463685-72vbtp/1783203634982-jkuh4a.webp,"[""L""]",true,false,2026-07-04 22:20:44.424527+00,"[""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783203463685-72vbtp/1783203636198-bvcgb4.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783203463685-72vbtp/1783203634982-jkuh4a.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783203463685-72vbtp/1783203635760-zx1qk9.webp""]","[""camisas""]",13
094b6037-29af-49f0-997c-89d2b3ee4dfa,Hoodie Nike Sportswear All Over Logo – Unisex,hoodies,arriba,75000,"Estampado all over de logos Nike + Swoosh Bordado. Frisa suave, cómoda y de muy buena calidad.",XL - Para S,Ancho 50cm | Largo 62cm,10/10,https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1782927363262-azh8yz/1782927368470-av02mp.webp,,"[""S""]",true,false,2026-07-01 17:42:28.35407+00,"[""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1782927363262-azh8yz/1782927368470-av02mp.webp""]","[""hoodies""]",8
0aa44063-e9e1-4dda-af19-964e717ccdf3,Remera Nike – Hombre,remeras,arriba,42000,Impecable,M,Ancho 50cm | Largo 65cm,10/10,https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783110784663-3146yk/1783110864063-r4ov32.webp,https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783110784663-3146yk/1783110862483-3am0rr.webp,"[""M""]",true,false,2026-07-03 20:34:38.21635+00,"[""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783110784663-3146yk/1783110864063-r4ov32.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783110784663-3146yk/1783110862483-3am0rr.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783110784663-3146yk/1783110863447-tdar28.webp""]","[""remeras"",""casacas deportivas""]",20
13bfecfe-9d79-48aa-99a3-f71068a31fab,Hoodie Adidas Crewneck Built for Purpose '18  – Unisex,hoodies,arriba,65000,"<strong> Logos estampados y linea negra frontal bordada </strong>, tela muy suave, cómoda y liviana. <strong> Calidad de confección del año 2018</strong>",XL - Para L,Ancho 62cm | Largo 68cm,10/10,https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/13bfecfe-9d79-48aa-99a3-f71068a31fab/1782924025464-whtknv.webp,https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/13bfecfe-9d79-48aa-99a3-f71068a31fab/1783214389818-h41guy.jpeg,"[""L""]",true,false,2026-06-30 02:11:15.701254+00,"[""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/13bfecfe-9d79-48aa-99a3-f71068a31fab/1782924025464-whtknv.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/13bfecfe-9d79-48aa-99a3-f71068a31fab/1783214389818-h41guy.jpeg"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/13bfecfe-9d79-48aa-99a3-f71068a31fab/1783214789259-9zyilc.webp""]","[""hoodies""]",14
1a7a5025-10d0-41e9-9bc8-662de91fce9d,Polar Columbia Sportswear Snap-T Fleece Retro 90s – Hombre,hoodies,arriba,90000,<strong>Columbia Sportswear</strong> Snap-T Fleece <strong>90s</strong>. Pullover <strong>half-snap</strong> con <strong>4 botones a presión</strong>. Cuello alto reforzado en <strong>nylon azul rey</strong>. Bolsillo canguro frontal con <strong>cierre YKK</strong>. <strong>Patch Columbia bordado</strong> original. <strong>Jaretas ajustables</strong> en cintura. <strong>Fleece 300g</strong> sin pilling ni desgaste. Colorway <strong>azul petróleo y azul rey</strong>. Fit <strong>boxy oversize.</strong>,XL,Ancho 60cm | Largo 74cm,10/10,https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/1a7a5025-10d0-41e9-9bc8-662de91fce9d/1782955625099-24jgl0.webp,https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/1a7a5025-10d0-41e9-9bc8-662de91fce9d/1782931416051-bw9j5b.webp,"[""XL""]",true,false,2026-06-15 00:17:28.074218+00,"[""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/1a7a5025-10d0-41e9-9bc8-662de91fce9d/1782955625099-24jgl0.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/1a7a5025-10d0-41e9-9bc8-662de91fce9d/1782931416051-bw9j5b.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/1a7a5025-10d0-41e9-9bc8-662de91fce9d/1782931414814-i0tvde.webp""]","[""hoodies"",""polares""]",2
31ed3adc-19a7-4a79-930c-6f910a0d7164,Hoodie Jerzees Outdoors RealTree Camo – Unisex,hoodies,arriba,54000,,M,Ancho 56cm | Largo 70cm,10/10,https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/31ed3adc-19a7-4a79-930c-6f910a0d7164/1782923998239-jpcoe4.webp,,"[""M""]",true,false,2026-06-30 19:34:32.367405+00,"[""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/31ed3adc-19a7-4a79-930c-6f910a0d7164/1782923998239-jpcoe4.webp""]","[""hoodies""]",5
4193d43f-e943-4dea-bd19-59fe11efce60,Campera Nike Winddrunner Vintage Puffer 2008 – Hombre,camperas zip,arriba,70000,"Acolchada e ideal para uso diario o actividades al aire libre. Cuenta con <strong>interior de guata en excelente estado</strong>, brindando muy buena capacidad térmica. Incorpora un <strong>bolsillo interno de gran tamaño</strong>, además de dos bolsillos laterales con cierres y mini swoosh. Presenta <strong>Swoosh en la espalda</strong>, <strong>elásticos de puños y cintura en excelente estado</strong> y un <strong>cuerpo muy bien conservado</strong>, con colores vivos. El <strong>cierre principal YKK, conserva completamente su acabado (sin pintura saltada ni picaduras)</strong> y <strong>funciona correctamente</strong>, aunque se encuentra <strong>algo duro al deslizar</strong>. Como detalles, presenta un <strong>leve raspón</strong>, <strong>leves pelotitas en la parte trasera a la altura del cuello</strong> y <strong>uno de los cierres de los bolsillos laterales funciona de manera irregular</strong>. <strong>No conserva la etiqueta de talle</strong>, por lo que se recomienda guiarse por las medidas.",M – Sin Etiqueta,Ancho 55cm | Largo 69cm,"8,5/10",https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1782932772477-vs7yjy/1782932809374-bo60ti.webp,https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1782932772477-vs7yjy/1782932808784-591u9d.webp,"[""M""]",true,false,2026-07-01 19:14:21.659991+00,"[""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1782932772477-vs7yjy/1782932809374-bo60ti.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1782932772477-vs7yjy/1782932808784-591u9d.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1782932772477-vs7yjy/1782932807967-kn7r1i.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1782932772477-vs7yjy/1782932805608-j1aaci.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1782932772477-vs7yjy/1782932804850-n1uduj.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1782932772477-vs7yjy/1782932806418-6r1wlt.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1782932772477-vs7yjy/1782932807034-ykm6xi.webp""]","[""camperas zip"",""camperas""]",26
551dd42b-5a25-4f36-b056-875fe1a3e2ac,Chaps windbreaker colorblock – Hombre,polares,arriba,80000,"<strong>Campera con Interior Polar.</strong> En su versión más buscada: Exterior rompeviento impermeable en Azul Marino y Polar Exterior e interior de color Rojo <strong>, Cierres YKK, 2 bolsillos laterales con cierre y cierre principal, puños y ruedo elastizados, logo Chaps bordado en brazo Izquierda.
Detalles: Leve rayadura en Cierre Principal YKK.",L - Para XL,Ancho 64cm | Largo 75cm,10/10,https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1782832647537-wwo6cb/1782832660403-9wigvm.webp,,"[""L""]",true,false,2026-06-30 15:25:30.515925+00,"[""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1782832647537-wwo6cb/1782832660403-9wigvm.webp""]","[""polares"",""camperas zip"",""camperas""]",10
5dd1b1f3-5faa-493b-808e-b006231ed0b4,Polar Polo Sport Ralph Lauren 90s – Hombre,hoodies,arriba,98000,Cuenta con <strong>Cierre Salmi Metalico</strong> original de época <strong>Bordado Polo Sport</strong> con <strong>Bandera USA</strong> bordada a full detalle <strong>Tela Fleece 100% Polyester</strong> gruesa <strong>Hecha en USA</strong> <strong>Corte Oversize boxy</strong> <strong>Color navy azul marino</strong> pieza <strong>Vintage de los 90s</strong>,XL,Ancho 73cm | Largo 75cm,10/10,https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783111584706-380v7p/1783111732075-y0nq4z.webp,https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783111584706-380v7p/1783111731482-gaea18.webp,"[""XL""]",true,false,2026-07-03 20:49:01.882457+00,"[""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783111584706-380v7p/1783111732075-y0nq4z.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783111584706-380v7p/1783111731482-gaea18.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783111584706-380v7p/1783111729443-v5lm5d.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783111584706-380v7p/1783111730765-ol1mfo.webp""]","[""hoodies"",""polares""]",3
68cf5365-06aa-424b-8aa6-366b1e1f183c,Hoodie Champion – Unisex,hoodies,arriba,135000,"Buzo de algodón pesado y grueso, felpa interior en excelente estado.
Detalles: Leve desgaste general",L - Oversize,Ancho 57cm | Largo 68cm,"9,5/10",https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783019116913-pke683/1783019454859-ud9d40.webp,https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783019116913-pke683/1783019453974-af9dvs.webp,"[""L""]",true,false,2026-07-02 19:13:44.62565+00,"[""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783019116913-pke683/1783019454859-ud9d40.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783019116913-pke683/1783019453974-af9dvs.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783019116913-pke683/1783019453167-rmlfrl.webp"", ""https://iifrudupaxcahnopxqcb.supabase.co/storage/v1/object/public/Products/temp-1783019116913-pke683/1783019454416-cgy6q8.webp""]","[""hoodies""]",1
